Date,Open,High,Low,Close,Adj Close,Volume
2022-03-14,0.000816,0.000912,0.000801,0.000910,0.000910,41422
2022-03-15,0.000910,0.000917,0.000867,0.000883,0.000883,44912
2022-03-16,0.000883,0.000926,0.000869,0.000912,0.000912,19135
2022-03-17,0.000912,0.000926,0.000827,0.000844,0.000844,19963
2022-03-18,0.000844,0.000853,0.000809,0.000837,0.000837,22038
2022-03-19,0.000837,0.000844,0.000798,0.000802,0.000802,14594
2022-03-20,0.000802,0.000808,0.000776,0.000789,0.000789,9525
2022-03-21,0.000789,0.000801,0.000776,0.000782,0.000782,5774
2022-03-22,0.000782,0.000815,0.000781,0.000789,0.000789,4866
2022-03-23,0.000789,0.000796,0.000765,0.000773,0.000773,9094
2022-03-24,0.000773,0.000790,0.000770,0.000784,0.000784,9565
2022-03-25,0.000784,0.000794,0.000767,0.000772,0.000772,6083
2022-03-26,0.000772,0.000788,0.000755,0.000780,0.000780,6482
2022-03-27,0.000780,0.000814,0.000774,0.000812,0.000812,4394
2022-03-28,0.000812,0.000842,0.000809,0.000809,0.000809,5911
2022-03-29,0.000809,0.000834,0.000807,0.000810,0.000810,6019
2022-03-30,0.000810,0.000836,0.000801,0.000812,0.000812,4471
2022-03-31,0.000812,0.000830,0.000772,0.000776,0.000776,4747
2022-04-01,0.000776,0.000806,0.000749,0.000803,0.000803,2663
2022-04-02,0.000803,0.000818,0.000775,0.000776,0.000776,3163
2022-04-03,0.000776,0.000805,0.000768,0.000795,0.000795,3317
2022-04-04,0.000795,0.000795,0.000757,0.000784,0.000784,3915
2022-04-05,0.000784,0.000809,0.000771,0.000771,0.000771,5895
2022-04-06,0.000771,0.000784,0.000729,0.000735,0.000735,5710
2022-04-07,0.000735,0.000762,0.000730,0.000749,0.000749,5887
2022-04-08,0.000749,0.000757,0.000697,0.000702,0.000702,5196
2022-04-09,0.000702,0.000712,0.000697,0.000706,0.000706,4301
2022-04-10,0.000706,0.000712,0.000692,0.000693,0.000693,1461
2022-04-11,0.000693,0.000694,0.000647,0.000648,0.000648,324
2022-04-12,0.000648,0.000692,0.000648,0.000682,0.000682,158
2022-04-13,0.000682,0.000700,0.000678,0.000698,0.000698,167
2022-04-14,0.000698,0.000704,0.000669,0.000669,0.000669,1869
2022-04-15,0.000669,0.000679,0.000668,0.000674,0.000674,1767
2022-04-16,0.000674,0.000678,0.000672,0.000675,0.000675,0
2022-04-17,0.000675,0.000675,0.000649,0.000650,0.000650,829
2022-04-18,0.000650,0.000669,0.000635,0.000668,0.000668,913
2022-04-19,0.000668,0.000679,0.000664,0.000668,0.000668,847
2022-04-20,0.000668,0.000686,0.000662,0.000666,0.000666,917
2022-04-21,0.000666,0.000675,0.000634,0.000640,0.000640,864
2022-04-22,0.000640,0.000652,0.000632,0.000640,0.000640,2123
2022-04-23,0.000640,0.000645,0.000627,0.000634,0.000634,1829
2022-04-24,0.000634,0.000642,0.000627,0.000628,0.000628,811
2022-04-25,0.000628,0.000637,0.000606,0.000635,0.000635,392
2022-04-26,0.000635,0.000641,0.000600,0.000607,0.000607,128
2022-04-27,0.000607,0.000621,0.000605,0.000616,0.000616,518
2022-04-28,0.000616,0.000645,0.000616,0.000644,0.000644,1360
2022-04-29,0.000644,0.000649,0.000615,0.000619,0.000619,901
2022-04-30,0.000619,0.000631,0.000585,0.000587,0.000587,1446
2022-05-01,0.000587,0.000608,0.000584,0.000601,0.000601,1857
2022-05-02,0.000601,0.000607,0.000591,0.000601,0.000601,383
2022-05-03,0.000601,0.000605,0.000587,0.000594,0.000594,113
2022-05-04,0.000594,0.000627,0.000592,0.000621,0.000621,379
2022-05-05,0.000621,0.000638,0.000574,0.000583,0.000583,771
2022-05-06,0.000583,0.000591,0.000572,0.000582,0.000582,535
2022-05-07,0.000582,0.000584,0.000553,0.000561,0.000561,267
2022-05-08,0.000561,0.000562,0.000537,0.000543,0.000543,254
2022-05-09,0.000543,0.000543,0.000543,0.000543,0.000543,0
2022-05-10,0.000543,0.000543,0.000471,0.000502,0.000502,0
2022-05-11,0.000502,0.000502,0.000423,0.000430,0.000430,0
2022-05-12,0.000430,0.000430,0.000430,0.000430,0.000430,0
2022-05-13,0.000430,0.000471,0.000406,0.000462,0.000462,0
2022-05-14,0.000462,0.000462,0.000416,0.000454,0.000454,96
2022-05-15,0.000454,0.000477,0.000437,0.000475,0.000475,84
2022-05-16,0.000475,0.000475,0.000448,0.000458,0.000458,0
2022-05-17,0.000458,0.000476,0.000456,0.000470,0.000470,111
2022-05-18,0.000470,0.000474,0.000441,0.000441,0.000441,76
2022-05-19,0.000441,0.000472,0.000441,0.000472,0.000472,246
2022-05-20,0.000472,0.000484,0.000451,0.000461,0.000461,623
2022-05-21,0.000461,0.000479,0.000457,0.000475,0.000475,625
2022-05-22,0.000475,0.000491,0.000474,0.000485,0.000485,258
2022-05-23,0.000485,0.000510,0.000480,0.000481,0.000481,286
2022-05-24,0.000481,0.000501,0.000475,0.000499,0.000499,294
2022-05-25,0.000499,0.000512,0.000490,0.000497,0.000497,0
2022-05-26,0.000497,0.000501,0.000453,0.000478,0.000478,0
2022-05-27,0.000478,0.000478,0.000441,0.000447,0.000447,0
2022-05-28,0.000447,0.000447,0.000447,0.000447,0.000447,0
